,PWVmidTim,Tdelay
247,20121007/0615,2167.1
248,20121007/0645,2173.9
249,20121007/0715,2166.0
250,20121007/0745,2166.0
251,20121007/0815,2169.8
252,20121007/0845,2170.1
253,20121007/0915,2168.0
254,20121007/0945,2167.4
255,20121007/1015,2168.9
256,20121007/1045,2168.6
257,20121007/1115,2167.2
258,20121007/1145,2165.3
259,20121007/1215,2162.4
260,20121007/1245,2163.0
261,20121007/1315,2166.9
262,20121007/1345,2167.4
263,20121007/1415,2164.8
264,20121007/1445,2160.7
265,20121007/1515,2161.9
266,20121007/1545,2163.9
267,20121007/1615,2165.6
268,20121007/1645,2172.3
269,20121007/1715,2173.5
270,20121007/1745,2173.6
271,20121007/1815,2179.9
272,20121007/1845,2182.9
273,20121007/1915,2182.2
274,20121007/1945,2184.9
275,20121007/2015,2183.0
276,20121007/2045,2177.3
277,20121007/2115,2178.7
278,20121007/2145,2183.8
279,20121007/2215,2180.8
280,20121007/2245,2178.6
281,20121007/2315,2180.1
235,20121008/0015,2185.1
236,20121008/0045,2183.1
237,20121008/0115,2179.2
238,20121008/0145,2179.4
239,20121008/0215,2179.1
240,20121008/0245,2179.1
241,20121008/0315,2178.9
242,20121008/0345,2179.8
243,20121008/0415,2177.3
244,20121008/0445,2178.1
245,20121008/0515,2178.2
246,20121008/0545,2173.4
247,20121008/0615,2172.1
248,20121008/0645,2173.5
249,20121008/0715,2173.7
250,20121008/0745,2170.9
251,20121008/0815,2166.9
252,20121008/0845,2162.6
253,20121008/0915,2160.7
254,20121008/0945,2160.3
255,20121008/1015,2157.2
256,20121008/1045,2153.8
257,20121008/1115,2150.9
258,20121008/1145,2153.4
259,20121008/1215,2155.8
260,20121008/1245,2155.2
261,20121008/1315,2158.3
262,20121008/1345,2154.2
263,20121008/1415,2147.3
264,20121008/1445,2146.0
265,20121008/1515,2146.4
266,20121008/1545,2148.7
267,20121008/1615,2153.4
268,20121008/1645,2153.6
269,20121008/1715,2158.1
270,20121008/1745,2166.3
271,20121008/1815,2167.5
272,20121008/1845,2164.8
273,20121008/1915,2164.2
274,20121008/1945,2166.3
275,20121008/2015,2170.9
276,20121008/2045,2176.8
277,20121008/2115,2183.3
278,20121008/2145,2188.0
279,20121008/2215,2185.6
280,20121008/2245,2187.4
281,20121008/2315,2190.9
235,20121009/0015,2197.8
236,20121009/0045,2199.9
237,20121009/0115,2200.2
238,20121009/0145,2198.6
239,20121009/0215,2199.2
240,20121009/0245,2199.5
241,20121009/0315,2197.5
242,20121009/0345,2195.9
243,20121009/0415,2193.9
244,20121009/0445,2193.8
245,20121009/0515,2191.3
246,20121009/0545,2188.6
247,20121009/0615,2188.6
248,20121009/0645,2191.2
249,20121009/0715,2190.9
250,20121009/0745,2191.0
251,20121009/0815,2188.6
252,20121009/0845,2183.9
253,20121009/0915,2180.9
254,20121009/0945,2182.6
255,20121009/1015,2181.9
256,20121009/1045,2175.1
257,20121009/1115,2173.3
258,20121009/1145,2168.4
259,20121009/1215,2167.3
260,20121009/1245,2167.8
261,20121009/1315,2164.2
262,20121009/1345,2161.5
263,20121009/1415,2155.9
264,20121009/1445,2152.3
265,20121009/1515,2151.2
266,20121009/1545,2149.4
267,20121009/1615,2144.9
268,20121009/1645,2143.5
269,20121009/1715,2142.4
270,20121009/1745,2139.9
271,20121009/1815,2144.4
272,20121009/1845,2144.8
273,20121009/1915,2146.4
274,20121009/1945,2152.1
275,20121009/2015,2149.3
276,20121009/2045,2149.3
277,20121009/2115,2154.6
278,20121009/2145,2157.1
279,20121009/2215,2154.4
280,20121009/2245,2155.6
281,20121009/2315,2158.9
235,20121010/0015,2165.8
236,20121010/0045,2167.2
237,20121010/0115,2167.7
238,20121010/0145,2165.0
239,20121010/0215,2168.7
240,20121010/0245,2170.4
241,20121010/0315,2163.4
242,20121010/0345,2160.2
243,20121010/0415,2161.3
244,20121010/0445,2164.3
245,20121010/0515,2160.7
246,20121010/0545,2157.6
247,20121010/0615,2156.8
248,20121010/0645,2153.8
249,20121010/0715,2155.8
250,20121010/0745,2159.2
251,20121010/0815,2161.6
252,20121010/0845,2160.1
253,20121010/0915,2158.5
254,20121010/0945,2159.8
255,20121010/1015,2159.4
256,20121010/1045,2158.9
257,20121010/1115,2158.2
258,20121010/1145,2156.8
259,20121010/1215,2157.0
260,20121010/1245,2156.2
261,20121010/1315,2156.6
262,20121010/1345,2158.5
263,20121010/1415,2156.6
264,20121010/1445,2157.2
265,20121010/1515,2161.6
266,20121010/1545,2164.4
267,20121010/1615,2163.4
268,20121010/1645,2165.0
269,20121010/1715,2169.6
270,20121010/1745,2170.4
271,20121010/1815,2172.9
272,20121010/1845,2174.3
273,20121010/1915,2173.7
274,20121010/1945,2182.2
275,20121010/2015,2187.2
276,20121010/2045,2185.4
277,20121010/2115,2192.2
278,20121010/2145,2202.4
279,20121010/2215,2205.8
280,20121010/2245,2208.7
281,20121010/2315,2211.6
188,20121011/0015,2220.2
189,20121011/0045,2221.2
190,20121011/0115,2216.7
191,20121011/0145,2214.7
192,20121011/0215,2212.7
193,20121011/0245,2209.8
194,20121011/0315,2208.8
195,20121011/0345,2210.1
196,20121011/0415,2211.8
197,20121011/0445,2211.5
198,20121011/0515,2206.9
199,20121011/0545,2204.6
200,20121011/0615,2206.0
201,20121011/0645,2203.6
202,20121011/0715,2203.6
203,20121011/0745,2206.2
204,20121011/0815,2203.8
205,20121011/0845,2204.3
206,20121011/0915,2206.1
207,20121011/0945,2207.8
208,20121011/1015,2205.7
209,20121011/1045,2202.4
210,20121011/1115,2203.1
211,20121011/1145,2199.9
212,20121011/1215,2197.2
213,20121011/1245,2195.7
214,20121011/1315,2193.9
215,20121011/1345,2194.8
216,20121011/1415,2194.4
217,20121011/1445,2194.4
218,20121011/1515,2192.4
219,20121011/1545,2195.1
220,20121011/1615,2198.3
221,20121011/1645,2194.6
222,20121011/1715,2193.1
223,20121011/1745,2195.6
224,20121011/1815,2198.6
225,20121011/1845,2190.2
226,20121011/1915,2182.9
227,20121011/1945,2187.9
228,20121011/2015,2181.6
229,20121011/2045,2177.8
230,20121011/2115,2183.9
231,20121011/2145,2181.9
232,20121011/2215,2175.8
233,20121011/2245,2177.9
234,20121011/2315,2174.9
235,20121012/0015,2165.2
236,20121012/0045,2165.9
237,20121012/0115,2160.1
238,20121012/0145,2159.7
239,20121012/0215,2159.6
240,20121012/0245,2156.2
241,20121012/0315,2152.6
242,20121012/0345,2149.9
243,20121012/0415,2147.3
244,20121012/0445,2145.1
245,20121012/0515,2144.2
246,20121012/0545,2149.2
247,20121012/0615,2150.4
248,20121012/0645,2142.4
249,20121012/0715,2139.4
250,20121012/0745,2142.9
251,20121012/0815,2146.0
252,20121012/0845,2146.7
253,20121012/0915,2145.6
254,20121012/0945,2148.1
255,20121012/1015,2150.3
256,20121012/1045,2152.1
257,20121012/1115,2155.2
258,20121012/1145,2154.6
259,20121012/1215,2152.8
260,20121012/1245,2152.8
261,20121012/1315,2152.9
262,20121012/1345,2151.1
263,20121012/1415,2150.1
264,20121012/1445,2151.4
265,20121012/1515,2149.5
266,20121012/1545,2146.4
267,20121012/1615,2142.7
268,20121012/1645,2141.1
269,20121012/1715,2142.8
270,20121012/1745,2142.0
271,20121012/1815,2140.7
272,20121012/1845,2142.6
273,20121012/1915,2144.3
274,20121012/1945,2144.8
275,20121012/2015,2142.1
276,20121012/2045,2140.7
277,20121012/2115,2145.9
278,20121012/2145,2145.4
279,20121012/2215,2146.4
280,20121012/2245,2152.6
281,20121012/2315,2153.4
235,20121013/0015,2154.4
236,20121013/0045,2155.9
237,20121013/0115,2156.9
238,20121013/0145,2153.7
239,20121013/0215,2155.1
240,20121013/0245,2158.4
241,20121013/0315,2159.6
242,20121013/0345,2161.1
243,20121013/0415,2159.4
244,20121013/0445,2159.7
245,20121013/0515,2161.2
246,20121013/0545,2161.2
247,20121013/0615,2161.3
248,20121013/0645,2161.5
249,20121013/0715,2163.4
250,20121013/0745,2163.8
251,20121013/0815,2163.4
252,20121013/0845,2164.4
253,20121013/0915,2166.3
254,20121013/0945,2162.8
255,20121013/1015,2158.2
256,20121013/1045,2161.3
257,20121013/1115,2162.7
258,20121013/1145,2158.2
259,20121013/1215,2162.1
260,20121013/1245,2169.6
261,20121013/1315,2170.9
262,20121013/1345,2170.2
263,20121013/1415,2174.4
264,20121013/1445,2175.7
265,20121013/1515,2173.7
266,20121013/1545,2175.0
267,20121013/1615,2171.5
268,20121013/1645,2168.7
269,20121013/1715,2169.4
270,20121013/1745,2166.2
271,20121013/1815,2165.8
272,20121013/1845,2167.9
273,20121013/1915,2167.9
274,20121013/1945,2171.4
275,20121013/2015,2170.1
276,20121013/2045,2169.6
277,20121013/2115,2170.2
278,20121013/2145,2166.7
279,20121013/2215,2167.9
280,20121013/2245,2169.9
281,20121013/2315,2168.6
235,20121014/0015,2164.9
236,20121014/0045,2167.2
237,20121014/0115,2164.6
238,20121014/0145,2164.3
239,20121014/0215,2165.9
240,20121014/0245,2160.8
241,20121014/0315,2157.3
242,20121014/0345,2158.8
243,20121014/0415,2160.5
244,20121014/0445,2166.1
245,20121014/0515,2165.1
246,20121014/0545,2161.6
247,20121014/0615,2163.9
248,20121014/0645,2161.3
249,20121014/0715,2162.2
250,20121014/0745,2163.9
251,20121014/0815,2162.2
252,20121014/0845,2163.6
253,20121014/0915,2164.6
254,20121014/0945,2160.4
255,20121014/1015,2160.0
256,20121014/1045,2163.2
257,20121014/1115,2163.7
258,20121014/1145,2158.4
259,20121014/1215,2159.6
260,20121014/1245,2162.5
261,20121014/1315,2160.1
262,20121014/1345,2163.1
263,20121014/1415,2168.9
264,20121014/1445,2168.2
265,20121014/1515,2168.2
266,20121014/1545,2169.6
267,20121014/1615,2162.9
268,20121014/1645,2163.5
269,20121014/1715,2167.8
270,20121014/1745,2164.6
271,20121014/1815,2162.8
272,20121014/1845,2163.2
273,20121014/1915,2163.1
274,20121014/1945,2165.1
275,20121014/2015,2166.1
276,20121014/2045,2169.2
277,20121014/2115,2172.2
278,20121014/2145,2169.2
279,20121014/2215,2170.2
280,20121014/2245,2172.3
281,20121014/2315,2170.6
235,20121015/0015,2174.1
236,20121015/0045,2173.5
237,20121015/0115,2172.2
238,20121015/0145,2172.6
239,20121015/0215,2171.8
240,20121015/0245,2170.2
241,20121015/0315,2170.6
242,20121015/0345,2170.6
243,20121015/0415,2167.8
244,20121015/0445,2167.6
245,20121015/0515,2171.8
246,20121015/0545,2173.3
247,20121015/0615,2171.7
248,20121015/0645,2170.6
249,20121015/0715,2174.4
250,20121015/0745,2178.2
251,20121015/0815,2175.6
252,20121015/0845,2175.4
253,20121015/0915,2180.4
254,20121015/0945,2181.8
255,20121015/1015,2179.8
256,20121015/1045,2181.5
257,20121015/1115,2184.1
258,20121015/1145,2185.6
259,20121015/1215,2187.8
260,20121015/1245,2186.2
261,20121015/1315,2185.5
262,20121015/1345,2184.6
263,20121015/1415,2182.4
264,20121015/1445,2181.7
265,20121015/1515,2185.1
266,20121015/1545,2188.2
267,20121015/1615,2183.1
268,20121015/1645,2183.9
269,20121015/1715,2185.3
270,20121015/1745,2186.7
271,20121015/1815,2190.2
272,20121015/1845,2189.0
273,20121015/1915,2189.1
274,20121015/1945,2192.4
275,20121015/2015,2197.0
276,20121015/2045,2198.8
277,20121015/2115,2199.5
278,20121015/2145,2195.6
279,20121015/2215,2194.6
280,20121015/2245,2197.9
281,20121015/2315,2196.7
235,20121016/0015,2192.3
236,20121016/0045,2193.5
237,20121016/0115,2193.8
238,20121016/0145,2196.2
239,20121016/0215,2196.9
240,20121016/0245,2198.1
241,20121016/0315,2199.3
242,20121016/0345,2196.9
243,20121016/0415,2197.0
244,20121016/0445,2193.8
245,20121016/0515,2189.8
246,20121016/0545,2192.0
247,20121016/0615,2191.9
248,20121016/0645,2193.1
249,20121016/0715,2195.4
250,20121016/0745,2192.2
251,20121016/0815,2190.7
252,20121016/0845,2192.8
253,20121016/0915,2197.0
254,20121016/0945,2190.6
255,20121016/1015,2178.7
256,20121016/1045,2178.9
257,20121016/1115,2180.8
258,20121016/1145,2177.6
259,20121016/1215,2175.8
260,20121016/1245,2175.0
261,20121016/1315,2170.4
262,20121016/1345,2166.7
263,20121016/1415,2169.7
264,20121016/1445,2169.9
265,20121016/1515,2169.3
266,20121016/1545,2170.7
267,20121016/1615,2166.0
268,20121016/1645,2175.4
269,20121016/1715,2189.8
270,20121016/1745,2187.6
271,20121016/1815,2187.4
272,20121016/1845,2194.4
273,20121016/1915,2194.9
274,20121016/1945,2193.0
275,20121016/2015,2196.4
276,20121016/2045,2200.0
277,20121016/2115,2200.8
278,20121016/2145,2200.9
279,20121016/2215,2200.3
280,20121016/2245,2201.2
281,20121016/2315,2202.1
235,20121017/0015,2200.3
236,20121017/0045,2198.1
237,20121017/0115,2195.0
238,20121017/0145,2199.1
239,20121017/0215,2203.1
240,20121017/0245,2203.6
241,20121017/0315,2207.0
242,20121017/0345,2208.4
243,20121017/0415,2205.2
244,20121017/0445,2205.9
245,20121017/0515,2209.2
246,20121017/0545,2209.2
247,20121017/0615,2210.7
248,20121017/0645,2209.0
249,20121017/0715,2208.4
250,20121017/0745,2207.7
251,20121017/0815,2205.1
252,20121017/0845,2208.9
253,20121017/0915,2215.1
254,20121017/0945,2213.1
255,20121017/1015,2207.3
256,20121017/1045,2207.4
257,20121017/1115,2205.4
258,20121017/1145,2202.3
259,20121017/1215,2203.5
260,20121017/1245,2203.5
261,20121017/1315,2206.6
262,20121017/1345,2207.1
263,20121017/1415,2208.6
264,20121017/1445,2213.4
265,20121017/1515,2217.1
266,20121017/1545,2218.8
267,20121017/1615,2218.9
268,20121017/1645,2214.3
269,20121017/1715,2203.2
270,20121017/1745,2202.4
271,20121017/1815,2202.0
272,20121017/1845,2199.2
273,20121017/1915,2202.9
274,20121017/1945,2202.4
275,20121017/2015,2198.4
276,20121017/2045,2201.1
277,20121017/2115,2199.8
278,20121017/2145,2193.8
279,20121017/2215,2196.2
280,20121017/2245,2198.7
281,20121017/2315,2197.6
233,20121018/0015,2199.8
234,20121018/0045,2200.2
235,20121018/0115,2198.2
236,20121018/0145,2198.0
237,20121018/0215,2197.2
238,20121018/0245,2196.5
239,20121018/0315,2198.2
240,20121018/0345,2198.8
241,20121018/0415,2196.1
242,20121018/0445,2193.6
243,20121018/0515,2194.7
244,20121018/0545,2196.8
245,20121018/0615,2196.6
246,20121018/0645,2197.2
247,20121018/0715,2196.1
248,20121018/0745,2195.4
249,20121018/0815,2198.1
250,20121018/0845,2199.0
251,20121018/0915,2199.7
252,20121018/0945,2196.8
253,20121018/1015,2192.2
254,20121018/1045,2190.9
255,20121018/1115,2184.8
256,20121018/1145,2182.9
257,20121018/1215,2187.8
258,20121018/1245,2181.6
259,20121018/1315,2191.0
260,20121018/1345,2200.6
261,20121018/1415,2199.6
262,20121018/1445,2206.0
263,20121018/1515,2204.3
264,20121018/1545,2192.2
265,20121018/1615,2186.6
266,20121018/1645,2195.9
267,20121018/1715,2200.7
268,20121018/1745,2200.4
269,20121018/1815,2205.2
270,20121018/1845,2211.6
271,20121018/1915,2214.4
272,20121018/1945,2214.0
273,20121018/2015,2212.6
274,20121018/2045,2211.9
275,20121018/2115,2207.4
276,20121018/2145,2202.6
277,20121018/2215,2203.8
278,20121018/2245,2202.2
279,20121018/2315,2199.2
235,20121019/0015,2191.4
236,20121019/0045,2184.2
237,20121019/0115,2174.2
238,20121019/0145,2166.5
239,20121019/0215,2161.4
240,20121019/0245,2156.3
241,20121019/0315,2157.8
242,20121019/0345,2159.2
243,20121019/0415,2153.2
244,20121019/0445,2148.8
245,20121019/0515,2147.2
246,20121019/0545,2150.3
247,20121019/0615,2153.5
248,20121019/0645,2153.1
249,20121019/0715,2151.6
250,20121019/0745,2150.2
251,20121019/0815,2149.2
252,20121019/0845,2143.6
253,20121019/0915,2141.1
254,20121019/0945,2137.4
255,20121019/1015,2136.9
256,20121019/1045,2137.8
257,20121019/1115,2136.1
258,20121019/1145,2135.2
259,20121019/1215,2132.2
260,20121019/1245,2128.6
261,20121019/1315,2126.6
262,20121019/1345,2132.4
263,20121019/1415,2135.1
264,20121019/1445,2127.3
265,20121019/1515,2125.4
266,20121019/1545,2127.5
267,20121019/1615,2129.4
268,20121019/1645,2128.8
269,20121019/1715,2124.6
270,20121019/1745,2125.8
271,20121019/1815,2128.8
272,20121019/1845,2129.4
273,20121019/1915,2129.0
274,20121019/1945,2130.1
275,20121019/2015,2127.2
276,20121019/2045,2124.7
277,20121019/2115,2124.4
278,20121019/2145,2124.5
279,20121019/2215,2128.5
280,20121019/2245,2128.2
281,20121019/2315,2125.3
188,20121020/0015,2129.9
189,20121020/0045,2128.1
190,20121020/0115,2131.7
191,20121020/0145,2135.1
192,20121020/0215,2133.1
193,20121020/0245,2134.1
194,20121020/0315,2134.8
195,20121020/0345,2133.4
196,20121020/0415,2132.1
197,20121020/0445,2130.8
198,20121020/0515,2131.1
199,20121020/0545,2130.0
200,20121020/0615,2128.6
201,20121020/0645,2130.2
202,20121020/0715,2132.4
203,20121020/0745,2133.7
204,20121020/0815,2132.2
205,20121020/0845,2125.9
206,20121020/0915,2125.9
207,20121020/0945,2127.6
208,20121020/1015,2123.7
209,20121020/1045,2127.6
210,20121020/1115,2127.8
211,20121020/1145,2125.6
212,20121020/1215,2133.8
213,20121020/1245,2134.7
214,20121020/1315,2135.6
215,20121020/1345,2147.7
216,20121020/1415,2152.8
217,20121020/1445,2152.1
218,20121020/1515,2158.1
219,20121020/1545,2171.4
220,20121020/1615,2172.1
221,20121020/1645,2166.3
222,20121020/1715,2166.9
223,20121020/1745,2169.7
224,20121020/1815,2170.9
225,20121020/1845,2169.2
226,20121020/1915,2168.0
227,20121020/1945,2168.2
228,20121020/2015,2170.3
229,20121020/2045,2169.7
230,20121020/2115,2173.3
231,20121020/2145,2174.8
232,20121020/2215,2178.6
233,20121020/2245,2184.1
234,20121020/2315,2184.6
235,20121021/0015,2187.9
236,20121021/0045,2181.5
237,20121021/0115,2182.8
238,20121021/0145,2184.2
239,20121021/0215,2175.2
240,20121021/0245,2175.3
241,20121021/0315,2177.2
242,20121021/0345,2177.2
243,20121021/0415,2176.9
244,20121021/0445,2175.9
245,20121021/0515,2173.3
246,20121021/0545,2173.4
247,20121021/0615,2172.6
248,20121021/0645,2171.6
249,20121021/0715,2170.8
250,20121021/0745,2173.1
251,20121021/0815,2175.8
252,20121021/0845,2171.1
253,20121021/0915,2175.2
254,20121021/0945,2179.0
255,20121021/1015,2179.6
256,20121021/1045,2186.0
257,20121021/1115,2187.3
258,20121021/1145,2183.4
259,20121021/1215,2186.9
260,20121021/1245,2192.2
261,20121021/1315,2190.2
262,20121021/1345,2191.1
263,20121021/1415,2190.5
264,20121021/1445,2186.3
265,20121021/1515,2188.2
266,20121021/1545,2191.8
267,20121021/1615,2198.6
268,20121021/1645,2192.2
269,20121021/1715,2186.1
270,20121021/1745,2187.3
271,20121021/1815,2189.6
272,20121021/1845,2188.1
273,20121021/1915,2189.4
274,20121021/1945,2197.3
275,20121021/2015,2205.1
276,20121021/2045,2209.6
277,20121021/2115,2202.7
278,20121021/2145,2198.8
279,20121021/2215,2193.3
280,20121021/2245,2191.3
281,20121021/2315,2187.0
235,20121022/0015,2188.5
236,20121022/0045,2185.2
237,20121022/0115,2187.3
238,20121022/0145,2189.6
239,20121022/0215,2188.1
240,20121022/0245,2192.7
241,20121022/0315,2197.2
242,20121022/0345,2198.0
243,20121022/0415,2200.9
244,20121022/0445,2200.4
245,20121022/0515,2206.2
246,20121022/0545,2203.3
247,20121022/0615,2200.2
248,20121022/0645,2196.8
249,20121022/0715,2187.7
250,20121022/0745,2189.0
251,20121022/0815,2185.4
252,20121022/0845,2189.2
253,20121022/0915,2196.3
254,20121022/0945,2200.1
255,20121022/1015,2202.3
256,20121022/1045,2201.2
257,20121022/1115,2197.1
258,20121022/1145,2193.4
259,20121022/1215,2200.5
260,20121022/1245,2198.4
261,20121022/1315,2188.1
262,20121022/1345,2185.6
263,20121022/1415,2184.5
264,20121022/1445,2186.2
265,20121022/1515,2190.3
266,20121022/1545,2191.9
267,20121022/1615,2194.9
268,20121022/1645,2199.6
269,20121022/1715,2205.2
270,20121022/1745,2200.1
271,20121022/1815,2190.4
272,20121022/1845,2195.8
273,20121022/1915,2197.8
274,20121022/1945,2200.3
275,20121022/2015,2200.7
276,20121022/2045,2200.9
277,20121022/2115,2204.8
278,20121022/2145,2202.8
279,20121022/2215,2202.0
280,20121022/2245,2200.1
281,20121022/2315,2198.2
235,20121023/0015,2204.9
236,20121023/0045,2208.9
237,20121023/0115,2209.8
238,20121023/0145,2203.9
239,20121023/0215,2190.1
240,20121023/0245,2184.7
241,20121023/0315,2189.8
242,20121023/0345,2184.9
243,20121023/0415,2181.7
244,20121023/0445,2186.1
245,20121023/0515,2185.0
246,20121023/0545,2184.3
247,20121023/0615,2182.3
248,20121023/0645,2179.3
249,20121023/0715,2180.2
250,20121023/0745,2182.9
251,20121023/0815,2183.2
252,20121023/0845,2182.1
253,20121023/0915,2180.4
254,20121023/0945,2175.0
255,20121023/1015,2175.8
256,20121023/1045,2176.2
257,20121023/1115,2172.9
258,20121023/1145,2169.3
259,20121023/1215,2167.1
260,20121023/1245,2162.1
261,20121023/1315,2160.6
262,20121023/1345,2166.9
263,20121023/1415,2168.9
264,20121023/1445,2171.8
265,20121023/1515,2174.2
266,20121023/1545,2174.4
267,20121023/1615,2174.2
268,20121023/1645,2176.8
269,20121023/1715,2182.1
270,20121023/1745,2179.3
271,20121023/1815,2177.1
272,20121023/1845,2180.3
273,20121023/1915,2182.1
274,20121023/1945,2184.4
275,20121023/2015,2186.9
276,20121023/2045,2188.8
277,20121023/2115,2189.3
278,20121023/2145,2189.2
279,20121023/2215,2192.6
280,20121023/2245,2196.3
281,20121023/2315,2203.6
235,20121024/0015,2200.5
236,20121024/0045,2199.1
237,20121024/0115,2199.2
238,20121024/0145,2200.8
239,20121024/0215,2196.0
240,20121024/0245,2195.2
241,20121024/0315,2194.5
242,20121024/0345,2191.7
243,20121024/0415,2194.1
244,20121024/0445,2190.8
245,20121024/0515,2189.7
246,20121024/0545,2192.9
247,20121024/0615,2193.3
248,20121024/0645,2192.2
249,20121024/0715,2189.8
250,20121024/0745,2188.8
251,20121024/0815,2189.0
252,20121024/0845,2189.1
253,20121024/0915,2189.0
254,20121024/0945,2184.8
255,20121024/1015,2184.5
256,20121024/1045,2186.0
257,20121024/1115,2181.3
258,20121024/1145,2180.2
259,20121024/1215,2183.2
260,20121024/1245,2185.3
261,20121024/1315,2185.4
262,20121024/1345,2182.8
263,20121024/1415,2182.6
264,20121024/1445,2185.8
265,20121024/1515,2186.1
266,20121024/1545,2185.2
267,20121024/1615,2189.3
268,20121024/1645,2189.3
269,20121024/1715,2189.2
270,20121024/1745,2188.6
271,20121024/1815,2188.5
272,20121024/1845,2189.5
273,20121024/1915,2187.4
274,20121024/1945,2186.6
275,20121024/2015,2186.8
276,20121024/2045,2185.3
277,20121024/2115,2181.6
278,20121024/2145,2179.8
279,20121024/2215,2178.7
280,20121024/2245,2177.3
281,20121024/2315,2176.4
235,20121025/0015,2178.6
236,20121025/0045,2177.8
237,20121025/0115,2176.2
238,20121025/0145,2175.1
239,20121025/0215,2174.2
240,20121025/0245,2174.8
241,20121025/0315,2175.7
242,20121025/0345,2177.1
243,20121025/0415,2176.1
244,20121025/0445,2174.8
245,20121025/0515,2177.6
246,20121025/0545,2176.0
247,20121025/0615,2174.2
248,20121025/0645,2174.2
249,20121025/0715,2173.7
250,20121025/0745,2171.6
251,20121025/0815,2167.8
252,20121025/0845,2169.7
253,20121025/0915,2169.6
254,20121025/0945,2167.7
255,20121025/1015,2169.2
256,20121025/1045,2164.1
257,20121025/1115,2161.7
258,20121025/1145,2166.4
259,20121025/1215,2166.4
260,20121025/1245,2169.4
261,20121025/1315,2167.4
262,20121025/1345,2162.2
263,20121025/1415,2170.9
264,20121025/1445,2176.7
265,20121025/1515,2169.6
266,20121025/1545,2164.9
267,20121025/1615,2169.4
268,20121025/1645,2169.6
269,20121025/1715,2167.4
270,20121025/1745,2167.6
271,20121025/1815,2165.6
272,20121025/1845,2162.6
273,20121025/1915,2163.6
274,20121025/1945,2163.8
275,20121025/2015,2163.2
276,20121025/2045,2162.7
277,20121025/2115,2160.9
278,20121025/2145,2160.4
279,20121025/2215,2160.6
280,20121025/2245,2162.2
281,20121025/2315,2166.3
188,20121026/0015,2165.4
189,20121026/0045,2164.6
190,20121026/0115,2166.5
191,20121026/0145,2167.9
192,20121026/0215,2166.5
193,20121026/0245,2165.5
194,20121026/0315,2166.2
195,20121026/0345,2163.9
196,20121026/0415,2160.6
197,20121026/0445,2158.9
198,20121026/0515,2160.2
199,20121026/0545,2157.0
200,20121026/0615,2155.2
201,20121026/0645,2158.3
202,20121026/0715,2159.1
203,20121026/0745,2160.7
204,20121026/0815,2159.8
205,20121026/0845,2161.7
206,20121026/0915,2160.3
207,20121026/0945,2159.2
208,20121026/1015,2159.3
209,20121026/1045,2154.7
210,20121026/1115,2151.2
211,20121026/1145,2153.1
212,20121026/1215,2153.4
213,20121026/1245,2148.8
214,20121026/1315,2146.9
215,20121026/1345,2149.6
216,20121026/1415,2154.3
217,20121026/1445,2157.3
218,20121026/1515,2154.4
219,20121026/1545,2149.6
220,20121026/1615,2150.8
221,20121026/1645,2148.5
222,20121026/1715,2150.7
223,20121026/1745,2154.8
224,20121026/1815,2155.4
225,20121026/1845,2158.1
226,20121026/1915,2158.8
227,20121026/1945,2163.4
228,20121026/2015,2166.2
229,20121026/2045,2165.9
230,20121026/2115,2165.3
231,20121026/2145,2167.8
232,20121026/2215,2168.7
233,20121026/2245,2167.8
234,20121026/2315,2169.9
235,20121027/0015,2165.9
236,20121027/0045,2165.6
237,20121027/0115,2168.8
238,20121027/0145,2167.5
239,20121027/0215,2166.1
240,20121027/0245,2166.1
241,20121027/0315,2165.8
242,20121027/0345,2164.6
243,20121027/0415,2163.2
244,20121027/0445,2163.2
245,20121027/0515,2161.6
246,20121027/0545,2157.4
247,20121027/0615,2156.8
248,20121027/0645,2157.2
249,20121027/0715,2155.6
250,20121027/0745,2155.1
251,20121027/0815,2153.5
252,20121027/0845,2154.9
253,20121027/0915,2154.3
254,20121027/0945,2150.8
255,20121027/1015,2151.2
256,20121027/1045,2150.7
257,20121027/1115,2147.1
258,20121027/1145,2145.1
259,20121027/1215,2142.9
260,20121027/1245,2137.3
261,20121027/1315,2132.3
262,20121027/1345,2130.9
263,20121027/1415,2127.3
264,20121027/1445,2125.9
265,20121027/1515,2127.3
266,20121027/1545,2126.9
267,20121027/1615,2126.8
268,20121027/1645,2126.3
269,20121027/1715,2126.5
270,20121027/1745,2128.4
271,20121027/1815,2129.8
272,20121027/1845,2132.7
273,20121027/1915,2136.0
274,20121027/1945,2140.5
275,20121027/2015,2145.8
276,20121027/2045,2146.7
277,20121027/2115,2148.4
278,20121027/2145,2153.3
279,20121027/2215,2156.8
280,20121027/2245,2160.3
281,20121027/2315,2161.6
235,20121028/0015,2163.2
236,20121028/0045,2164.0
237,20121028/0115,2171.1
238,20121028/0145,2176.9
239,20121028/0215,2177.4
240,20121028/0245,2177.7
241,20121028/0315,2178.5
242,20121028/0345,2177.1
243,20121028/0415,2180.0
244,20121028/0445,2185.3
245,20121028/0515,2184.9
246,20121028/0545,2193.6
247,20121028/0615,2198.0
248,20121028/0645,2197.0
249,20121028/0715,2199.3
250,20121028/0745,2198.2
251,20121028/0815,2201.2
252,20121028/0845,2201.0
253,20121028/0915,2203.6
254,20121028/0945,2213.3
255,20121028/1015,2214.6
256,20121028/1045,2214.9
257,20121028/1115,2215.8
